Loyalty#,cluster_behavior_agglomerative_ward,cluster_value_agglomerative_ward,agglomerative_ward_behavior_level,agglomerative_ward_value_level,agglomerative_ward_final_segment
252628,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
252679,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
252782,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
252954,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253046,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253056,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
253082,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
253098,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253210,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253282,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253283,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
253412,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
253466,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
253528,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253601,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253609,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253619,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253635,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253689,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253825,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
253852,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
254097,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
254161,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
254230,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
254361,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
254371,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
254372,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
254428,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
254546,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
254567,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
254575,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
254579,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
254667,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
254683,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
254745,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
254853,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
254860,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
254940,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255019,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
255028,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
255032,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
255087,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255108,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255183,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
255215,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255267,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255320,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
255333,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255425,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255475,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255509,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255546,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255623,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
255653,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255718,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255740,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255767,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
255818,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
255836,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255951,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
255994,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
256003,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256013,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256135,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256147,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256188,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
256189,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
256198,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
256323,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256360,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256434,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256467,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
256483,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256486,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256502,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256544,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256574,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256627,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
256731,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
256755,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
256821,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
256920,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
256945,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
257194,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
257236,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257301,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257369,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
257391,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257393,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
257417,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257440,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257463,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
257506,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257509,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
257575,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257579,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257705,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257820,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
257862,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
257864,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
257880,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257981,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
257985,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
258067,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258088,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258102,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258123,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258141,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
258166,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
258184,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258202,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258228,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
258238,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258248,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258296,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
258323,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258358,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
258408,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258799,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
258849,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258860,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
258951,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
259067,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
259110,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
259170,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
259219,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
259252,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
259342,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
259446,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
259532,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
259634,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
259700,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
259734,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
259789,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
259878,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260000,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
260106,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
260112,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
260155,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260245,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260285,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
260408,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260452,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260464,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260513,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260515,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260622,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260685,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260712,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
260714,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260726,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260838,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
260855,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261044,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261077,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261109,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261125,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261187,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
261229,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261273,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
261283,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261331,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261423,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261426,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
261468,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261573,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261582,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261715,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261767,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
261780,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261787,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261789,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261832,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261957,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
261964,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262099,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262176,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262177,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262211,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
262305,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
262336,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262351,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
262366,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262369,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262374,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262422,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262467,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
262508,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262526,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262562,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262574,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
262586,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262613,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262683,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262717,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262770,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
262774,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262810,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
262937,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
263055,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263068,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
263069,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263080,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263127,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263237,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263246,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263260,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263267,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
263302,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
263339,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263402,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
263433,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263569,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263592,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263612,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
263707,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263729,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
263762,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263763,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263766,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263781,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263812,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263822,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
263866,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
263921,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264018,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264034,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
264050,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
264053,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
264064,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
264095,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
264107,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264145,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264234,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264236,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264308,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264331,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264365,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
264409,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
264486,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264491,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264632,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264690,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264701,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264723,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264733,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264741,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
264823,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
264904,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
264936,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
265072,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
265226,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
265284,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
265297,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
265317,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
265383,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
265557,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
265566,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
265575,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
265612,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
265665,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
265677,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
265784,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
265836,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
265975,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266148,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266234,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
266284,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266298,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
266326,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
266365,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266377,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
266429,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
266474,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266479,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
266516,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266536,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266541,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
266561,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
266604,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266640,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
266757,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266861,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266884,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
266953,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
266968,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267020,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267245,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267291,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267306,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
267352,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267428,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267474,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267566,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267717,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
267739,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267930,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267944,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
267951,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268076,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268094,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
268128,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268129,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268139,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268145,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268281,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268293,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268307,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268414,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
268439,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268500,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
268630,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268643,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
268789,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268842,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268932,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
268958,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
269070,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
269120,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
269154,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
269297,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
269434,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
269565,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
269632,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
269694,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
269775,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
269960,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270011,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270022,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270160,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
270183,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270203,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
270248,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270266,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270304,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270337,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270389,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270499,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270570,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270575,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270723,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270730,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270759,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270761,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270862,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270901,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
270909,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270935,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
270969,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
271043,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
271059,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
271148,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
271235,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
271297,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
271357,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
271365,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
271432,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
271463,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
271641,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
271660,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
271675,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
271680,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
271911,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
271929,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
271987,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
272001,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272097,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272114,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
272123,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
272144,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272148,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272225,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
272250,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272289,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
272476,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
272551,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
272568,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272672,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272686,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
272787,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272812,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272839,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272848,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272893,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
272944,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273020,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
273052,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273054,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
273070,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273144,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273177,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273179,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273198,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273213,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273243,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
273353,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
273357,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273391,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273414,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273478,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273552,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
273984,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274083,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274107,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
274117,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274141,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274179,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
274204,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274211,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274264,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274354,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274410,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
274428,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274431,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274473,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274535,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
274622,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
274698,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274765,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
274803,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
274817,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
274858,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
274879,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
274896,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
275049,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
275118,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
275209,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
275244,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
275287,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
